experimental_emp,experimental_se_emp,surrogate_index_emp,surrogate_index_se_emp,naive_emp,naive_se_emp,single_surrogate_emp,single_surrogate_se_emp,emp_weight_1_b,emp_weight_1_se,emp_weight_2_b,emp_weight_2_se,emp_weight_3_b,emp_weight_3_se,emp_weight_4_b,emp_weight_4_se,emp_weight_5_b,emp_weight_5_se,emp_weight_6_b,emp_weight_6_se,emp_weight_7_b,emp_weight_7_se,emp_weight_8_b,emp_weight_8_se,emp_weight_9_b,emp_weight_9_se,emp_weight_10_b,emp_weight_10_se,emp_weight_11_b,emp_weight_11_se,emp_weight_12_b,emp_weight_12_se,emp_weight_13_b,emp_weight_13_se,emp_weight_14_b,emp_weight_14_se,emp_weight_15_b,emp_weight_15_se,emp_weight_16_b,emp_weight_16_se,emp_weight_17_b,emp_weight_17_se,emp_weight_18_b,emp_weight_18_se,emp_weight_19_b,emp_weight_19_se,emp_weight_20_b,emp_weight_20_se,emp_weight_21_b,emp_weight_21_se,emp_weight_22_b,emp_weight_22_se,emp_weight_23_b,emp_weight_23_se,emp_weight_24_b,emp_weight_24_se,emp_weight_25_b,emp_weight_25_se,emp_weight_26_b,emp_weight_26_se,emp_weight_27_b,emp_weight_27_se,emp_weight_28_b,emp_weight_28_se,emp_weight_29_b,emp_weight_29_se,emp_weight_30_b,emp_weight_30_se,emp_weight_31_b,emp_weight_31_se,emp_weight_32_b,emp_weight_32_se,emp_weight_33_b,emp_weight_33_se,emp_weight_34_b,emp_weight_34_se,emp_weight_35_b,emp_weight_35_se,emp_weight_36_b,emp_weight_36_se,emp_constant,emp_constant_se,bias_01_emp,bias_05_emp,quarter
.062003888,.01059421,.079921797,.0083356909,.1208923,.011348296,.044845589,.0072880387,,,,,,,,,,,,,,,,,,,,,.21264073,.010335693,.074035436,.011601262,.065771095,.010910663,.046468951,.010403929,.036400173,.010135933,.040005334,.0095010493,.040848423,.0089877518,.045378353,.0083302176,.049680918,.0078871837,.044433665,.0072656125,.041555908,.0067515755,.039686192,.006349748,.035380278,.0058157132,.038777143,.0053232289,.035503104,.004849371,.038500629,.0043594539,.038355954,.0038763382,.036197376,.0034760628,.037217952,.002974726,.03482205,.0024842257,.031335503,.0020830417,.028421298,.0016489616,.028207364,.0012500613,.027451992,.00084119552,.027912101,.00043414859,.027777778,0,.083030231,.0041143443,.048218206,.10781918,11
.062003888,.01059421,.078859299,.0085997647,.11774389,.011290924,.039000589,.0074488441,,,,,,,,,,,,,,,,,,,,,,,.21679555,.0097191585,.075718254,.010854132,.069453426,.010316421,.062807627,.01003981,.045497548,.0094359685,.042337786,.0089271935,.036447488,.0082752984,.032215327,.0078351405,.031536255,.0072153183,.031258795,.0067039719,.028151641,.0063058347,.030577963,.0057742246,.030511344,.0052839904,.029650938,.0048124939,.023573661,.0043294132,.019736115,.0038512724,.021920938,.0034536086,.02173923,.0029554053,.023743771,.0024679152,.024856934,.0020679655,.024641449,.0016360544,.026353242,.0012406359,.027498629,.00083493785,.027467621,.00043089894,.027777776,0,.076023094,.0039124684,.045776896,.10236026,12
.062003888,.01059421,.078107916,.0088544516,.11484361,.011232659,.038829956,.0076710093,,,,,,,,,,,,,,,,,,,,,,,,,.22046222,.0091580898,.085818455,.010673268,.076091327,.010396048,.061610516,.0097613903,.055267215,.0092381658,.050701242,.0085622445,.047505893,.0081057409,.038856003,.0074708373,.033984207,.0069438322,.032022763,.0065305824,.034744143,.0059801326,.033355881,.0054726228,.033538196,.0049842098,.030622164,.0044805645,.030989686,.0039840396,.028439406,.0035728498,.03062924,.0030579313,.026505319,.0025548371,.025117431,.0021408759,.026705967,.0016940163,.024636371,.0012847263,.0266544,.00086490199,.028008442,.00044653346,.027777778,0,.07018055,.0036857452,.043181177,.096556045,13
.062003888,.01059421,.07863643,.009044596,.11229372,.011193042,.038826261,.0077798702,,,,,,,,,,,,,,,,,,,,,,,,,,,.19955303,.0091614863,.10053752,.010859008,.084233537,.010199072,.065415114,.0096834423,.057275493,.0089782821,.047140222,.0085101351,.04673719,.0078368848,.047902737,.0072816131,.044988096,.0068488033,.042108737,.0062715448,.038753539,.0057402388,.031022483,.0052342755,.033757906,.0047051683,.032136496,.0041840086,.030962935,.0037514577,.026878491,.0032119066,.031389248,.0026836356,.031346995,.002248551,.029422401,.0017793154,.028258096,.0013490305,.028311383,.00090772519,.028460855,.0004684653,.027777778,0,.064111307,.003512861,.041174293,.092068516,14
.062003888,.01059421,.078767613,.0091258176,.1099236,.011157166,.037379976,.0076698568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.14862761,.0093213888,.036101848,.0098559661,.020949904,.0093472181,.017516343,.0086625554,.015512268,.0081999348,.019792628,.0075527541,.019875327,.0070174858,.018979572,.0065994393,.021178985,.0060429196,.026035825,.005532376,.030166581,.0050405045,.030197451,.004530251,.028863126,.0040283953,.029017573,.0036117698,.029038534,.0030907469,.027181894,.0025808359,.026808791,.0021624349,.027835481,.0017109052,.03157112,.0012986755,.029818827,.00087417488,.027634442,.00045158755,.027777778,0,.061346833,.0034201217,.03996677,.08936841,15
.062003888,.01059421,.071227215,.0093431296,.10543846,.011116526,.019431204,.0079429857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.20114867,.008155318,.098602973,.0089370813,.066084042,.008369402,.058150481,.0079297526,.048549443,.0073104231,.04730932,.0067924908,.045894809,.0063880184,.037246834,.0058564208,.029311597,.0053661014,.029900543,.0048872307,.024832549,.0043952949,.027203361,.0039088246,.028884798,.0035049396,.02925642,.0029993423,.029802527,.0025042018,.025600839,.0021004714,.026485929,.0016618558,.025336821,.0012599926,.027590869,.00084838067,.028699163,.00043795299,.027777778,0,.059137113,.0032067681,.037440483,.083719462,16
.062003888,.01059421,.074932955,.0094742365,.10340009,.011074917,.03567072,.0079076663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.17577238,.0077334573,.054089729,.00847553,.046353601,.0080297319,.043575786,.007395138,.037501354,.0068748998,.036710739,.0064653284,.03627063,.0059196735,.035464019,.0054171607,.032841239,.0049344669,.036298979,.0044362396,.032433953,.0039462438,.032934368,.0035381443,.030860486,.0030281863,.03165647,.0025283184,.032689739,.00211855,.032689523,.0016760684,.028234513,.001273016,.027102338,.0008567184,.027413132,.00044214854,.027777778,0,.053199116,.0030447247,.035242744,.078805171,17
.062003888,.01059421,.076504216,.0096371118,.10156891,.011030254,.036266938,.0080618411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.20137018,.0074891108,.08308021,.008812692,.065746076,.0081389872,.048933014,.0075890049,.037593156,.007152475,.033822827,.0065500881,.03410029,.0059939898,.028967416,.0054617184,.025264494,.0049101636,.027500087,.0043665087,.028825913,.0039151213,.031665109,.0033510895,.025986379,.0028008744,.03002567,.002348653,.02955061,.0018581352,.030907799,.0014088295,.02981336,.00094808149,.027608473,.00048970309,.027777776,0,.047726113,.0028287317,.032653816,.073016152,18
.062003888,.01059421,.074611925,.0097526275,.09912359,.011000337,.02849257,.0081178853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.1709618,.0075671365,.061744858,.0079825064,.059415516,.0074173063,.054851171,.0069779311,.045492526,.0063970895,.046369862,.0058540502,.0417835,.0053337798,.038562778,.0047948747,.038167354,.0042635188,.033142313,.0038256613,.026342869,.0032781912,.028464541,.0027374155,.026073152,.0022942827,.025747474,.0018151087,.027509186,.0013763581,.027650483,.00092611491,.028356096,.00047799721,.027777778,0,.044540014,.0026812188,.031093976,.069528244,19
.062003888,.01059421,.076918699,.0098737422,.097538471,.010948253,.034765903,.0080314176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.17680706,.0063033258,.057625838,.0073978836,.043282729,.006982774,.03575534,.0063986625,.032913279,.0058562225,.035271659,.0053341486,.032600041,.0047948826,.027015505,.0042666611,.027228886,.0038253958,.027607718,.0032735695,.026701754,.0027332036,.027205296,.0022901124,.023487784,.0018132562,.024685167,.0013747665,.024751671,.00092504238,.026783947,.0004777596,.027777778,0,.03964122,.0024752682,.028633595,.064026669,20
